site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p90	p95	p99
054041665	ALL	20110701	20110930	92	239.35	65.33	132.00	519.00		144.90	163.30	175.75	199.00	206.50	213.80	219.00	222.20	226.85	230.00	232.15	238.80	245.45	253.20	261.00	270.40	323.10	387.65	
054041665	0701	20110701	20110701	1	270.00		270.00	270.00											270.00									
054041665	0702	20110702	20110702	1	262.00		262.00	262.00											262.00									
054041665	0703	20110703	20110703	1	245.00		245.00	245.00											245.00									
054041665	0704	20110704	20110704	1	233.00		233.00	233.00											233.00									
054041665	0705	20110705	20110705	1	229.00		229.00	229.00											229.00									
054041665	0706	20110706	20110706	1	246.00		246.00	246.00											246.00									
054041665	0707	20110707	20110707	1	238.00		238.00	238.00											238.00									
054041665	0708	20110708	20110708	1	227.00		227.00	227.00											227.00									
054041665	0709	20110709	20110709	1	222.00		222.00	222.00											222.00									
054041665	0710	20110710	20110710	1	220.00		220.00	220.00											220.00									
054041665	0711	20110711	20110711	1	330.00		330.00	330.00											330.00									
054041665	0712	20110712	20110712	1	376.00		376.00	376.00											376.00									
054041665	0713	20110713	20110713	1	310.00		310.00	310.00											310.00									
054041665	0714	20110714	20110714	1	252.00		252.00	252.00											252.00									
054041665	0715	20110715	20110715	1	237.00		237.00	237.00											237.00									
054041665	0716	20110716	20110716	1	252.00		252.00	252.00											252.00									
054041665	0717	20110717	20110717	1	264.00		264.00	264.00											264.00									
054041665	0718	20110718	20110718	1	264.00		264.00	264.00											264.00									
054041665	0719	20110719	20110719	1	243.00		243.00	243.00											243.00									
054041665	0720	20110720	20110720	1	232.00		232.00	232.00											232.00									
054041665	0721	20110721	20110721	1	217.00		217.00	217.00											217.00									
054041665	0722	20110722	20110722	1	208.00		208.00	208.00											208.00									
054041665	0723	20110723	20110723	1	206.00		206.00	206.00											206.00									
054041665	0724	20110724	20110724	1	231.00		231.00	231.00											231.00									
054041665	0725	20110725	20110725	1	273.00		273.00	273.00											273.00									
054041665	0726	20110726	20110726	1	243.00		243.00	243.00											243.00									
054041665	0727	20110727	20110727	1	230.00		230.00	230.00											230.00									
054041665	0728	20110728	20110728	1	410.00		410.00	410.00											410.00									
054041665	0729	20110729	20110729	1	519.00		519.00	519.00											519.00									
054041665	0730	20110730	20110730	1	361.00		361.00	361.00											361.00									
054041665	0731	20110731	20110731	1	277.00		277.00	277.00											277.00									
054041665	0801	20110801	20110801	1	255.00		255.00	255.00											255.00									
054041665	0802	20110802	20110802	1	249.00		249.00	249.00											249.00									
054041665	0803	20110803	20110803	1	256.00		256.00	256.00											256.00									
054041665	0804	20110804	20110804	1	253.00		253.00	253.00											253.00									
054041665	0805	20110805	20110805	1	236.00		236.00	236.00											236.00									
054041665	0806	20110806	20110806	1	229.00		229.00	229.00											229.00									
054041665	0807	20110807	20110807	1	226.00		226.00	226.00											226.00									
054041665	0808	20110808	20110808	1	221.00		221.00	221.00											221.00									
054041665	0809	20110809	20110809	1	221.00		221.00	221.00											221.00									
054041665	0810	20110810	20110810	1	219.00		219.00	219.00											219.00									
054041665	0811	20110811	20110811	1	209.00		209.00	209.00											209.00									
054041665	0812	20110812	20110812	1	204.00		204.00	204.00											204.00									
054041665	0813	20110813	20110813	1	240.00		240.00	240.00											240.00									
054041665	0814	20110814	20110814	1	292.00		292.00	292.00											292.00									
054041665	0815	20110815	20110815	1	258.00		258.00	258.00											258.00									
054041665	0816	20110816	20110816	1	223.00		223.00	223.00											223.00									
054041665	0817	20110817	20110817	1	224.00		224.00	224.00											224.00									
054041665	0818	20110818	20110818	1	239.00		239.00	239.00											239.00									
054041665	0819	20110819	20110819	1	230.00		230.00	230.00											230.00									
054041665	0820	20110820	20110820	1	212.00		212.00	212.00											212.00									
054041665	0821	20110821	20110821	1	206.00		206.00	206.00											206.00									
054041665	0822	20110822	20110822	1	201.00		201.00	201.00											201.00									
054041665	0823	20110823	20110823	1	214.00		214.00	214.00											214.00									
054041665	0824	20110824	20110824	1	276.00		276.00	276.00											276.00									
054041665	0825	20110825	20110825	1	267.00		267.00	267.00											267.00									
054041665	0826	20110826	20110826	1	216.00		216.00	216.00											216.00									
054041665	0827	20110827	20110827	1	201.00		201.00	201.00											201.00									
054041665	0828	20110828	20110828	1	196.00		196.00	196.00											196.00									
054041665	0829	20110829	20110829	1	192.00		192.00	192.00											192.00									
054041665	0830	20110830	20110830	1	191.00		191.00	191.00											191.00									
054041665	0831	20110831	20110831	1	210.00		210.00	210.00											210.00									
054041665	0901	20110901	20110901	1	232.00		232.00	232.00											232.00									
054041665	0902	20110902	20110902	1	228.00		228.00	228.00											228.00									
054041665	0903	20110903	20110903	1	324.00		324.00	324.00											324.00									
054041665	0904	20110904	20110904	1	381.00		381.00	381.00											381.00									
054041665	0905	20110905	20110905	1	321.00		321.00	321.00											321.00									
054041665	0906	20110906	20110906	1	223.00		223.00	223.00											223.00									
054041665	0907	20110907	20110907	1	183.00		183.00	183.00											183.00									
054041665	0908	20110908	20110908	1	169.00		169.00	169.00											169.00									
054041665	0909	20110909	20110909	1	163.00		163.00	163.00											163.00									
054041665	0910	20110910	20110910	1	158.00		158.00	158.00											158.00									
054041665	0911	20110911	20110911	1	155.00		155.00	155.00											155.00									
